company_names,company_reviews,Reviews,Salaries,Interviews,jobs,Benefits,photos
InCred Finance,3.9,482 ,2.4k,32,23,19,--
Annapurna Group,3.8,139 ,496,7,--,10,--
Solar Defence And Aerospace,3.8,134 ,543,5,--,6,--
Yanfeng Automotive Interiors,3.9,135 ,651,9,8,14,--
Allahabad Bank,4.1,168 ,320,2,--,22,2
Tata Institute of Social Sciences,4.3,186 ,696,10,--,17,--
Klaus IT Solutions,3.7,237 ,1.3k,15,5,15,--
Metrochem Api,3.1,403 ,1.8k,32,5,33,8
Reecomps Teleservices,3.7,228 ,634,13,--,13,--
Vigour Mobile,3.6,134 ,476,2,5,11,--
American Tower Corporation,3.9,233 ,1.1k,6,--,27,--
Shree Maruti Integrated Logistics,3.5,112 ,317,5,1,1,--
Jamia Millia Islamia,4.5,111 ,369,2,--,15,--
J G Hosiery,3.3,161 ,638,8,--,14,1
India Pistons,2.7,142 ,719,9,--,18,--
Brainware University,3.1,190 ,542,25,23,4,19
ATPI,3.8,127 ,793,8,20,11,--
Cordlife Sciences India,3.6,211 ,588,13,14,27,--
BIC Cello,4.0,315 ,965,10,--,23,5
Hofincons Infotech & Industrial Services,4.1,240 ,610,8,--,29,--
SEW Infrastructure,3.4,170 ,506,4,1,19,--
Solenis,3.7,166 ,974,23,--,9,--
Teachnook,2.8,368 ,410,90,--,2,4
Hero Cycles,3.3,506 ,1.8k,53,1,36,1
ShipBob,3.9,121 ,376,29,21,2,6
Mashreq Bank,3.2,194 ,1.2k,9,--,18,--
Perennial Systems,4.2,130 ,608,24,6,8,31
Kyocera Document Solutions India,3.3,116 ,550,9,--,10,--
Fluentgrid,3.5,317 ,1.7k,26,--,27,--
Development Consultants,3.3,205 ,563,11,--,19,1
Smile Foundation,4.1,133 ,488,11,15,10,--
CPA Global,3.8,168 ,863,14,--,40,--
Sushima Pharmaceuticals,3.7,137 ,194,11,2,54,--
rProcess Outsourcing Services,3.3,134 ,463,12,5,10,--
Ribbon Communication,3.8,278 ,1.6k,31,14,34,--
TAM Media Research,3.8,117 ,375,4,2,15,--
FabAlley,3.9,135 ,239,5,--,2,4
94.3 MY FM,3.6,136 ,379,3,--,6,--
MNC Group,4.1,338 ,1.8k,131,--,52,--
Krishnapatnam Port,3.9,211 ,721,7,--,37,--
The Smart Cube,3.5,242 ,1.9k,29,--,30,--
POWERCON Ventures India,3.5,116 ,440,11,--,11,--
Evertogen Life Sciences,3.2,148 ,428,13,5,20,--
IIT Kharagpur,4.0,141 ,532,17,--,13,1
Saurer,3.6,123 ,661,9,--,9,--
Epicor Software Corporation,3.2,217 ,1.8k,26,2,25,--
Liberty Shoes,3.9,259 ,909,19,3,17,3
Madhavbaug,3.9,138 ,383,3,1,6,--
Stedman Pharmaceuticals,4.1,185 ,328,25,8,28,12
Think Gas Ludhiana,3.6,483 ,2.2k,50,1,31,2
TetraSoft,3.7,132 ,1.1k,12,--,15,--
India Cements,3.8,736 ,2.6k,52,--,61,1
SmartSchool Education,4.6,178 ,433,43,2,49,--
Multiplier Brand Solutions,3.6,340 ,892,11,2,29,1
Montra Electric,3.7,199 ,710,15,7,3,--
Parijat Industries (India),4.0,201 ,731,9,2,25,5
Vivifi India Finance,3.5,199 ,779,24,--,4,--
Carrier,3.7,629 ,4.4k,54,1,42,5
Akshayakalpa,3.9,130 ,402,13,1,6,--
Ck Birla Hospitals,3.9,302 ,1.1k,14,--,25,2
Naukri,4.2,918 ,3.2k,219,111,115,15
Peninsula Land,4.1,168 ,641,7,1,19,--
Lot Mobiles,3.5,127 ,409,4,1,12,--
WeRize,3.2,219 ,958,17,21,2,16
MAT Brakes,4.1,153 ,625,9,1,13,--
Methodex,3.7,375 ,1.3k,15,8,28,2
6Sense,3.4,113 ,579,14,--,38,--
Domino Printech India LLP,4.3,291 ,840,64,6,22,1
Interactive Avenues,3.3,152 ,1.1k,13,1,12,--
Anchor Health and Beauty Care,4.0,155 ,534,8,1,22,--
Osource Global,3.5,659 ,2.7k,27,14,3,--
Skipper,3.7,899 ,3k,64,4,56,4
Aksh Optifibre,3.8,137 ,524,5,--,15,--
Taggd,3.3,207 ,676,12,17,3,8
Gala Precision Engineering Limited,4.0,109 ,489,8,6,17,18
Chanakya IAS Academy,2.9,112 ,365,3,10,3,--
Yamaha Music India,3.7,166 ,740,3,7,13,--
Peps Industries,4.0,201 ,691,13,--,13,--
RETAIL HUB SOLUTIONS,4.2,111 ,234,7,--,8,--
Thermo Systems India,4.0,153 ,635,8,--,11,--
Gupta Power Infrastructure,3.0,349 ,1.4k,13,--,36,--
Automation Anywhere,3.8,174 ,1.6k,18,19,16,--
Indogulf CropSciences,3.3,111 ,487,3,1,5,--
Caliber Technologies,3.3,225 ,1.5k,16,11,12,--
Ajanta Shoes,3.5,164 ,578,17,2,7,2
GKC Projects,4.3,195 ,439,--,--,33,--
Monotech Systems,3.6,128 ,620,11,1,7,--
SEABIRD LOGISOLUTIONS,3.9,284 ,1.1k,19,2,28,--
Decorpot,3.2,224 ,937,24,109,22,5
Kimbal Technologies,3.8,139 ,431,11,2,2,--
Metalman Auto,3.9,512 ,1.9k,24,2,34,--
Navigators Software,4.2,195 ,627,19,17,4,--
Lighthouse Learning,3.5,117 ,661,4,44,2,--
Al Ahleia Switchgear,3.5,207 ,506,12,--,25,--
SKM Animal Feeds and Foods,3.3,114 ,568,5,--,5,--
LRQA,3.3,136 ,569,8,29,8,--
KodNest,4.1,165 ,218,28,--,1,--
Agilisium,3.0,107 ,929,15,15,7,7
Arvind Techno Engineers,4.0,193 ,756,8,8,7,--
Piscesia Power Transmission,4.5,115 ,68,1,--,3,--
UTI Mutual Fund,4.0,133 ,699,10,183,11,--
Automotive Stampings and Assemblies,3.8,171 ,638,5,--,12,--
Siyaram Silk Mills,4.0,417 ,1.5k,22,13,43,--
Global Autotech,4.0,490 ,2.1k,51,1,43,--
AbbVie Inc.,3.7,217 ,943,12,6,3,--
Muvi,3.8,151 ,616,20,11,15,--
National Organic Chemical Industries,3.8,415 ,1.8k,33,5,44,--
Odessa,3.7,405 ,2.4k,46,--,52,15
Yatra,3.2,637 ,3k,36,2,58,5
Owens Corning,3.6,399 ,1.7k,20,1,38,--
COWI,4.1,205 ,636,9,6,18,--
Rajesh Motors,3.8,201 ,629,6,--,16,1
Glen Appliances,4.1,132 ,462,7,1,7,--
Freudenberg Gala Household Product,3.9,136 ,396,7,--,14,--
Aligarh Muslim University,4.6,157 ,400,5,--,14,--
Prudent Insurance Brokers,3.7,159 ,846,7,22,7,--
NetApp,3.6,435 ,4k,75,171,35,12
Sunera Technologies,3.5,183 ,1.7k,25,--,17,3
Kaddacon Systems,4.5,340 ,--,18,--,--,2
Shivaami Cloud Services,4.2,249 ,522,76,4,5,8
Fourrts,4.1,276 ,799,14,3,24,1
PAVIT CERAMICS ( P),3.5,125 ,355,5,--,8,--
SAP-Concur,4.1,148 ,785,3,--,21,--
Zamil Air Conditioners,4.0,211 ,511,11,--,33,--
Government of Maharashtra,3.8,273 ,1.6k,21,--,24,--
Vertex Homes,3.0,128 ,563,11,--,15,--
Tcs And Associates,3.5,158 ,1.6k,12,--,4,--
Prose Technologies,4.1,115 ,533,5,--,--,--
Newtech Medical Devices,3.8,162 ,343,12,13,31,--
Hi-Tech,3.7,189 ,1.2k,22,--,14,--
Bravura Solutions,3.7,239 ,1.2k,17,14,107,10
Roto Pumps,3.9,156 ,525,8,--,11,--
Nityo Infotech,3.3,902 ,5k,99,40,48,--
Bombay Rayon Fashions,3.2,229 ,832,4,--,19,--
Stratosphere IT Services,3.3,213 ,1.3k,11,5,15,--
Sensiple,3.0,145 ,1.3k,8,5,10,--
ShopDeck,3.9,146 ,346,26,33,--,--
Shivam Infocom,4.3,215 ,572,3,--,15,--
LIC Mutual Fund,3.5,122 ,571,7,8,12,--
Adient,4.0,344 ,1.9k,21,--,61,--
RD Public School,4.2,115 ,491,5,5,4,--
Weatherford,3.6,205 ,873,16,8,24,4
Bankedge,4.0,118 ,172,13,--,27,--
Bombay Stock Exchange,3.6,238 ,1.6k,9,3,16,--
Mittsure Technologies,2.7,129 ,451,7,4,4,8
Tata Ficosa Automotive Systems,3.5,153 ,717,6,--,18,--
Adani Electricity,3.5,346 ,1.6k,22,--,13,2
Sony India Software Centre,3.9,245 ,2k,35,24,24,2
Premium Transmission,3.4,418 ,1.9k,52,1,35,7
Hotel Sahara Star,3.9,115 ,385,2,10,16,--
ASM Technologies,3.5,474 ,3.4k,45,19,29,--
S.M. Consultants,3.5,173 ,602,18,--,13,--
Winjit Technologies,3.6,256 ,2k,46,47,15,--
Metric Stream Infotech,3.2,299 ,2.2k,19,--,38,--
Argl,4.1,125 ,441,6,--,6,--
Vasant Chemicals,4.1,111 ,402,3,--,11,--
National Petroleum Construction Company,4.4,240 ,533,11,--,44,1
QUTONE CERAMIC,3.7,136 ,394,14,--,11,--
Shemford Futuristic School,3.6,107 ,312,5,--,11,9
Bengal Energy,3.9,169 ,577,10,--,7,2
Jayashree Polymers,3.8,274 ,1.3k,23,--,18,1
Franchise India Brands,3.2,400 ,1.4k,42,7,9,7
Akasa Air,3.3,151 ,906,16,5,1,--
Valethi Technologies,3.1,194 ,966,12,1,9,--
Optiemus Electronics,3.6,236 ,820,10,--,12,2
Livguard,3.9,734 ,2.2k,45,--,13,1
Phenom,3.5,332 ,2k,49,62,24,196
Pentair Water India,3.8,110 ,494,10,5,15,--
Best Koki Automotive,3.5,147 ,662,13,--,14,14
Srei Equipment Finance,4.2,379 ,1k,11,--,50,2
Krishna Buildestates,3.6,155 ,480,5,--,8,--
Lentra AI,2.9,228 ,1.9k,23,7,7,--
Eros Group,4.1,177 ,712,16,7,19,19
Biyani Technologies,4.0,116 ,239,31,7,3,1
UAE Exchange,4.4,149 ,438,5,--,15,--
Naga Limited,3.7,242 ,1.3k,16,1,11,--
TP Southern Odisha Distribution,3.5,204 ,661,20,--,5,--
Hy Gro Chemicals Pharmtek,3.8,196 ,677,11,--,21,--
Bottomline,3.3,133 ,1.1k,22,43,3,21
Tally Solutions,4.0,415 ,2.3k,48,6,49,8
TYPSA,3.4,118 ,539,11,1,8,--
XSEED Education,3.0,135 ,503,6,1,18,--
Siemens PLM Software,4.0,200 ,1.7k,12,--,32,--
Nayati Hospital,3.3,142 ,538,--,--,21,--
Waaree Energies,4.0,773 ,3.3k,74,24,43,1
Brink's,4.0,260 ,651,10,--,28,--
Ananda Dairy,4.0,172 ,535,13,--,8,4
Saya homes,3.9,127 ,380,5,11,5,--
Mfar Constructions,3.5,238 ,771,13,1,32,--
Advance Career Solutions,4.1,139 ,103,40,--,2,7
BYLD Group,3.9,155 ,383,42,23,4,3
Denave,3.5,763 ,2.7k,45,54,76,1
Ujaas Energy,3.4,118 ,315,2,--,9,--
Delivery.com,3.8,168 ,635,17,--,14,--
Saraca Solutions,4.1,172 ,532,23,58,20,16
Ashland,4.1,131 ,590,3,7,13,--
Schott Poonawalla,3.5,219 ,1.1k,8,6,3,1
Timken,3.9,923 ,4.1k,55,1,99,8
B5 Plus,3.2,148 ,444,23,--,21,2
Captain Tractors,4.2,120 ,488,9,2,7,--
ShopX,4.4,170 ,731,1,--,23,--
Piramal Group,4.0,140 ,2k,33,21,99,8
Travelex,3.4,222 ,1.4k,19,3,33,5
Capital Trust,3.3,411 ,866,22,--,30,3
Rotodyne Industries,3.5,110 ,301,10,--,11,--
Onsitego,3.8,401 ,1.3k,19,34,30,--
NIKE,4.0,327 ,2.3k,45,--,22,--
Madhu Jayanti International,3.3,238 ,703,19,23,16,--
ClinicAnywhere,3.2,134 ,542,16,--,3,--
Synamedia,3.3,144 ,1.2k,17,8,8,10
Mehta Cad Cam Systems,3.9,147 ,652,11,10,10,--
CallHealth,3.6,204 ,788,4,--,27,--
Plastic Omnium,3.7,473 ,2k,30,32,21,3
Indian Oil- Adani Gas,3.8,254 ,1.2k,22,11,1,--
Shakti Hormann,3.7,177 ,665,20,18,13,1
KFA Consultant,1.3,216 ,5,3,--,--,1
Calpion Software Technologies,3.5,271 ,1.6k,22,95,15,11
InnoEye Technologies,3.1,124 ,515,6,--,11,--
NATIONAL SKILL DEVELOPMENT CORPORATION,3.5,206 ,916,24,5,12,--
FUJIFILM,4.1,294 ,1.1k,15,--,27,--
Lexmark International,3.9,113 ,656,10,--,10,--
KMC Constructions,4.2,133 ,505,5,--,20,1
Major Brands,3.9,147 ,429,3,--,19,--
Curia,3.9,136 ,672,11,--,9,5
Techwave Consulting,3.7,491 ,3.6k,41,17,21,--
Texmo Industries,3.8,490 ,1.6k,27,4,41,--
NeoGrowth Credit,3.1,407 ,1.7k,26,6,26,--
Altius Customer Services,3.0,173 ,657,15,11,19,--
Mjunction Services,3.9,435 ,1.8k,26,3,42,2
indiagold,4.5,252 ,533,42,14,8,6
UTI Technology Services,3.3,134 ,548,3,--,8,--
VBeyond Corporation,3.9,173 ,735,12,18,19,11
Sinclus Engineering Consulting,4.2,126 ,519,11,--,5,--
Techno Exponent,3.6,140 ,479,32,--,8,4
TRIGO Group,2.8,197 ,707,14,--,24,--
Pioneer e Solutions,3.6,155 ,575,4,3,6,--
Rabindranath Tagore International Institute of Cardiac Sciences,3.9,144 ,385,2,--,14,--
Save the Children,4.4,226 ,680,17,--,26,--
AVL,3.5,329 ,1.6k,26,--,32,1
Elite Elevators,4.1,642 ,952,50,1,71,8
Nina Percept,4.1,163 ,598,7,--,11,1
Agrawal Metal Works,3.8,161 ,639,12,5,5,--
Bird Worldwide Flight Services,3.4,297 ,778,30,1,29,--
Railrestro.com,4.4,118 ,53,8,--,30,--
Bacancy Technology,4.3,285 ,1.2k,67,2,9,--
DRN Infrastructure,3.1,137 ,516,6,11,16,--
NMDC Steels,3.8,186 ,591,9,--,3,5
Oman Pharmaceutical Products,2.6,108 ,354,19,2,10,1
Advaith Motors,4.1,148 ,489,6,4,17,--
Technocraft Industries,3.6,164 ,815,11,--,14,--
East West Seeds,4.4,112 ,390,10,--,10,1
AGI Glaspac,3.8,298 ,920,24,--,21,2
Transguard Group,3.9,355 ,483,20,--,48,4
R K D Construction,4.1,109 ,395,7,--,4,--
Maruti Ispat And Pipes,3.7,232 ,484,35,2,4,19
Xihi Technology,3.5,129 ,493,12,--,5,--
IQ City Medical College,3.4,170 ,486,10,--,20,--
Datwyler Group,3.8,128 ,533,9,2,3,--
NKC Projects,4.0,227 ,989,12,--,9,--
Sandhar Technologies,3.8,918 ,3.5k,50,16,73,2
IRIS RegTech Solutions Limited,3.5,137 ,1.2k,15,15,15,--
ARDEE INDUSTRIES LIMITED,4.0,130 ,275,27,24,1,27
Express Roadways,3.6,169 ,683,9,--,12,2
Mindfire Solutions,4.0,280 ,1.6k,45,7,35,--
Auriga Research,2.8,120 ,590,9,12,10,3
Datavail Infotech,3.4,159 ,1.3k,7,45,13,--
SANY Group,3.8,129 ,490,13,--,1,3
Goldmedal Electricals,3.7,287 ,1.2k,15,2,8,4
DWD Pharmaceuticals,3.2,136 ,462,7,2,7,1
Dineshchandra R. Agrawal Infracon,4.0,758 ,2.4k,59,12,33,1
John Crane Sealing Systems India,3.5,208 ,1.2k,21,63,19,--
VK Building Services,4.0,156 ,546,11,13,18,--
Sales India,4.1,241 ,1.6k,32,--,21,1
BEKEM Infra Projects,3.9,115 ,383,6,--,8,1
CTM India Limited,3.4,232 ,773,7,--,8,--
Huber Suhner Electronics,3.9,110 ,509,8,5,11,--
Competition Team Technology,3.6,187 ,1k,10,--,8,--
Smiths Detection,3.8,132 ,747,14,87,5,--
Anu Industries,3.4,192 ,704,9,--,22,--
Eisai Pharmaceuticals,4.0,373 ,1.2k,23,--,49,--
J&K Bank,3.9,110 ,320,4,--,13,1
Amity International School,3.8,154 ,655,10,--,13,4
Symphoni HR,4.0,198 ,334,25,--,2,1
Tracks Components,3.2,157 ,889,16,--,9,--
Futuretech Factory One,4.6,118 ,20,48,--,1,--
NLC India Limited,4.4,566 ,1.2k,29,--,23,18
IT By Design,3.2,292 ,1.6k,42,8,9,4
Calix,4.0,142 ,387,25,46,1,6
Ginesys,3.7,260 ,680,68,37,9,20
Avantha Technologies,3.4,155 ,758,9,--,12,--
Vertex,3.9,173 ,498,6,--,29,--
Dhruv Research,3.0,257 ,276,16,--,1,10
SDP & Associates (Office),3.5,138 ,271,30,--,18,--
Karvy Innotech,2.9,375 ,1.8k,31,--,16,--
Tricon Infra Buildtech pvt.Ltd,3.0,211 ,760,16,7,10,--
Global Aluminium,3.8,331 ,875,18,--,17,1
Ugro Capital,3.7,746 ,2.6k,44,2,23,3
Konstelec Engineers,3.5,165 ,613,14,6,8,5
SRM Techsol,4.3,111 ,277,1,--,10,--
LT Foods,3.8,433 ,1.6k,23,--,41,--
Amara Raja Power Systems,4.2,241 ,942,20,65,38,1
Vandana Global,3.0,189 ,798,17,12,4,--
Godfrey Phillips India,4.0,905 ,3.2k,42,--,104,--
Grand Hyatt,4.2,377 ,916,11,--,51,2
Gtpl Broadband,3.7,344 ,1.3k,19,--,40,5
"MIDLAND CREDIT MANAGEMENT, INC.",3.8,181 ,832,11,6,26,--
Pennar Industries,3.4,631 ,3k,36,3,62,--
Crio.Do,3.0,165 ,900,34,--,3,1
Cure foods,3.5,289 ,839,20,--,31,--
CJ Darcl Logistics Limited,4.0,639 ,1.9k,44,2,45,425
Pahal Financial Services,4.0,245 ,728,11,4,16,2
TI METAL FORMING,3.9,157 ,588,8,--,12,2
Anvil Cables,3.7,155 ,510,8,--,15,2
Blue Jet Healthcare,3.8,129 ,837,10,--,2,1
Back Office,4.0,162 ,1.3k,17,--,16,1
Enzene Biosciences,3.9,257 ,1.3k,23,36,16,19
Nissin Brake,4.2,303 ,839,12,--,55,--
illumifin,3.3,144 ,548,4,1,1,--
V-Soft Consulting,3.2,128 ,627,26,--,9,7
Nitin Spinners,4.4,114 ,448,4,--,4,1
Affordable Robotic and Automation,2.8,120 ,605,4,--,7,--
Meil Anpara Power,3.9,152 ,381,4,--,15,--
Karamtara Engineering Limited,3.7,377 ,1.4k,40,10,23,1
Intuit,3.3,229 ,2.6k,83,--,14,--
Outpace Consulting Services,4.6,248 ,127,62,--,8,3
KK Spun Pipes,3.2,156 ,698,12,--,16,1
Colourtex,3.8,214 ,970,11,4,16,--
Unipath Specialty Laboratory,3.9,142 ,615,12,--,6,--
Shree Shubham Logistics,4.4,115 ,348,4,--,9,--
Riviera Infraprojects,4.2,230 ,669,11,9,6,1
Tulip Infratech,3.8,108 ,421,10,3,5,--
DataTracks,3.3,162 ,1.1k,16,6,9,--
Medhaj Techno Concept,4.0,892 ,2k,56,1,163,78
Scorg International,3.6,109 ,624,11,--,6,--
Tutopia,4.5,401 ,400,215,1,2,--
B.L. Harbert International,3.5,114 ,246,6,--,10,--
Alight Solutions,3.4,495 ,2.7k,30,5,50,17
Ogilvy,3.5,147 ,1.1k,11,--,15,--
Saleswallah,4.8,110 ,71,12,--,1,--
ARK Infosolutions,3.7,142 ,612,5,12,13,--
"Ministry Of Health, New Delhi",3.9,332 ,890,18,20,32,--
Merck Specialities,4.1,123 ,478,6,--,7,--
Ceratizit,4.3,150 ,665,15,6,19,9
Netsmartz Infotech,3.9,292 ,1.3k,26,4,13,--
OneCard,3.4,224 ,1.2k,25,3,3,3
Techila Global Services,3.9,126 ,570,17,6,19,6
OMICS International,2.5,514 ,1.7k,25,--,60,--
GeeksForGeeks,2.9,236 ,1.1k,44,2,10,--
Vini Cosmetics,4.0,354 ,802,16,--,19,--
Srijan Realty,3.7,165 ,750,12,4,10,--
LOTS Wholesale Solutions,3.9,243 ,962,19,7,10,--
Sri Ramachandra University,4.4,142 ,502,3,5,17,--
Enerrgia Skyi Developers,4.2,121 ,375,19,--,4,36
TTK Healthcare,4.1,411 ,1.3k,18,8,53,1
Lavender Technology,4.9,724 ,19,4,--,53,3
Media.net Software Services (India),3.3,249 ,2.1k,76,16,24,2
Cogniter Technologies,3.4,187 ,2.5k,20,57,19,--
Population Services International (PSI),3.8,161 ,427,8,--,24,--
Health Prime Services (India),3.4,235 ,878,17,10,43,--
Rustomjee Group,3.9,215 ,1.2k,20,3,12,--
Ahana Systems & Solutions,3.8,276 ,1.4k,23,1,17,15
Euronet Global Development Center,3.8,135 ,921,15,1,10,1
AVIZVA,2.3,146 ,900,20,11,4,8
Donaldson India Filter Systems,3.8,147 ,695,7,9,8,--
Smith+Nephew,4.0,238 ,1.4k,11,51,25,17
ANR Software Private Limited,4.1,397 ,1.1k,35,16,28,20
Advantum Health,3.0,223 ,818,14,3,24,--
Easy Home Finance,3.9,198 ,464,18,6,9,2
Molbio Diagnostics,3.8,139 ,711,13,--,4,--
Vikram Sarabhai Space Centre,4.4,138 ,402,3,--,5,2
Axis Sales,4.5,156 ,459,20,--,20,1
Sakata Inx,3.9,289 ,1.2k,15,1,20,--
Hurix Digital,3.2,191 ,1.1k,17,--,7,--
Ministry Of Education,3.4,114 ,357,3,--,17,--
Saudi Electricity Company,4.1,195 ,368,10,--,27,5
MoEngage,3.6,130 ,1.2k,30,35,7,26
efficiently,2.5,161 ,464,25,--,7,--
Juniper Networks,4.2,487 ,4.3k,75,--,49,7
Aditya Anagha Multi State Credit Co-Operative Society,4.8,185 ,105,5,--,2,--
Monginis Foods,3.5,178 ,675,8,--,19,--
Allzone Management Solutions,4.3,131 ,390,8,17,11,--
Kirtane & Pandit,3.6,144 ,649,8,--,12,--
Microgen Hygiene,3.5,109 ,297,13,7,10,--
Relyon Softech,3.9,175 ,914,19,2,20,--
BMW,4.1,293 ,1.7k,22,--,19,--
Athenahealth Technology,4.1,473 ,3.9k,90,130,45,--
Amway India Enterprises,4.1,568 ,2.1k,18,2,84,1
C.G. Marketing,4.0,182 ,530,4,2,21,3
Cybertech Systems & Software,3.5,121 ,898,9,12,11,--
The New Indian Express,4.0,109 ,527,4,2,9,1
Hitek Syndicate,3.6,178 ,428,8,1,6,--
Wingreens Farms,4.0,197 ,823,10,--,17,--
First Quantum Minerals,4.2,116 ,26,14,--,23,2
ICFAI University,3.7,399 ,865,23,--,45,--
iBall,4.1,166 ,457,6,--,10,--
SIPL,3.8,112 ,645,9,--,8,--
Marvell,3.7,127 ,1.1k,13,61,9,--
Hanu Software Solutions,3.3,148 ,930,17,--,28,--
Care Hospital,4.1,726 ,2.1k,34,72,65,11
Axalta Coating Systems,4.0,190 ,814,11,5,29,--
Sun Pharma Advanced Research Company,3.9,138 ,724,7,2,6,--
Pioneer Wincon,4.2,135 ,383,9,4,24,--
Stantec,3.8,157 ,1.1k,27,15,7,2
The Cosmos Co-operative Bank,3.5,194 ,948,8,--,15,1
Godrej Tyson Food,4.0,181 ,703,11,--,14,--
Spectranet,3.6,289 ,1.2k,22,4,21,--
Tirupati Group,4.1,232 ,1k,11,--,9,--
Roop Automotives,4.2,404 ,1.3k,30,--,45,3
Paisalo Digital,3.7,170 ,410,14,1,5,--
Salcomp Manufacturing,4.0,931 ,4.3k,84,12,74,--
Sumitomo Mitsui Banking Corporation,2.5,129 ,884,16,75,11,--
Lloyd Electric & Engineering,3.5,135 ,455,1,--,14,--
Donear Industries,3.2,173 ,805,8,--,7,--
Andromeda Sales ans Distribution PVT LTD,3.2,369 ,1.4k,19,11,17,--
TEXILA AMERICAN UNIVERSITY,4.0,119 ,211,6,4,50,--
Raam Group,3.5,149 ,556,28,52,4,--
Freedom Employability Academy,4.1,205 ,493,25,--,5,--
Factspan,3.3,143 ,739,23,17,2,19
Zeomega Infotech,3.6,116 ,877,11,9,15,2
QUICK HEAL TECHNOLOGIES,3.7,485 ,2.6k,30,4,53,--
Atidiv,2.9,203 ,1.1k,21,6,20,10
Dr. Willmar Schwabe India,3.9,181 ,466,7,2,13,--
Better.com,3.0,763 ,4k,56,34,121,--
i-Source Infosystems,3.7,187 ,778,9,2,5,--
CPC Diagnostics,3.7,183 ,603,12,7,13,--
Sourcedesk Global,4.2,130 ,180,8,8,16,--
Gowtham Model School,3.7,169 ,539,14,--,11,3
Hamdard,4.0,497 ,1.4k,42,3,29,1
vConstruct,3.8,131 ,900,11,23,21,31
Savex Technologies,4.1,316 ,1.3k,16,--,25,--
Kataria Automobiles,3.5,436 ,1.5k,19,3,34,12
Freshers Universe,4.2,120 ,616,20,--,6,--
RapiPay,3.6,500 ,1.6k,37,7,22,3
Pennant Technologies,3.9,121 ,753,21,20,6,--
Labtron Equipment,3.5,179 ,294,23,--,1,--
Armstrong International,4.0,163 ,703,9,11,14,--
Electrotherm,4.2,624 ,2.8k,40,3,56,--
Alexis Global,3.8,127 ,453,9,--,3,--
Rhysley Private Limited,3.5,136 ,342,17,19,12,--
DCM Infotech,3.4,156 ,800,10,2,6,--
Mahindra Agri Solutions,3.8,122 ,392,5,--,17,--
CARE,4.3,500 ,1.2k,41,1,77,--
Go Speedy Go,4.5,194 ,98,16,1,30,30
Sofcon India Pvt Ltd,3.5,138 ,514,13,6,13,2
DUKES,3.7,127 ,600,7,1,14,5
The Hershey Company,4.0,368 ,1.2k,21,18,27,5
Zivame.com,3.6,209 ,1k,10,--,9,3
Impact Guru,3.6,414 ,1.6k,50,19,7,3
Crescent Foundry,3.8,286 ,1k,35,18,22,1
AKGVG & Associates,3.3,122 ,477,19,6,1,--
Vibrant Infocom,2.7,113 ,283,9,--,4,1
Huron,3.8,349 ,2.6k,37,122,18,4
Premier Energies,4.0,517 ,1.9k,42,3,25,--
Jaypee Hotels,3.8,228 ,655,11,--,32,--
McAfee,3.8,289 ,2.9k,33,3,48,6
Sila Solutions,3.8,233 ,726,19,11,15,4
Civet Projects,4.2,117 ,351,7,5,4,--
Morarjee Textiles,4.1,116 ,409,6,--,10,3
Koso India,4.2,120 ,787,9,--,6,--
TIL,3.8,160 ,719,9,99,16,--
Esyasoft,4.3,123 ,246,41,--,--,6
Tps Infrastructure,4.2,203 ,721,14,--,13,--
EMCO,3.7,208 ,605,6,--,27,--
Sundaram Home Finance,4.2,251 ,713,11,--,12,--
Oda Class,3.0,398 ,657,28,--,6,2
Qwik Supply Chain,3.8,408 ,1.1k,28,--,16,3
Desnor Destination,3.9,119 ,47,9,--,5,1
MSD Pharmaceuticals,3.9,303 ,1.5k,29,71,32,--
Garrett - Advancing Motion,3.2,119 ,829,14,31,8,4
Keolis Hyderabad Metro,3.9,205 ,870,12,--,17,--
Devon Software Services,4.0,123 ,607,15,8,10,20
Cinda Engineering & Construction,4.1,178 ,730,15,--,9,1
Easyday Club,4.6,252 ,449,11,--,43,--
NewAge Software & Solutions,3.7,143 ,1.1k,4,9,14,--
Newtronic Lifecare Equipment,4.0,142 ,527,9,2,13,--
Aurionpro Solutions,3.5,566 ,3.5k,36,12,31,1
Birla Open Minds Education Private Limited,3.2,250 ,737,19,6,14,5
Halliburton,3.6,332 ,1.3k,32,41,28,5
Bangalore Baptist Hospital,4.4,111 ,343,2,7,12,--
Srei Sahaj e-Village,4.5,146 ,264,3,3,27,--
MasterSoft ERP Solutions,2.7,167 ,922,18,10,12,10
Lamprell,4.0,170 ,343,6,22,25,--
Futaba Industrial Gujarat,4.4,200 ,766,11,--,9,--
Volvo Buses,3.5,108 ,430,6,--,17,--
India Japan Lighting,4.1,737 ,2.6k,63,--,67,6
Systech Solutions,3.6,151 ,1.4k,14,2,18,--
Airpay Payment Services,2.8,149 ,732,12,19,11,3
Samsung E&A,4.0,747 ,2.3k,72,--,112,4
GE Aviation,4.0,252 ,1.3k,23,--,40,--
Clariant Chemicals,4.2,339 ,1.6k,15,15,45,--
Banaras Hindu University,4.7,136 ,364,6,--,18,--
Sel Manufacturing Co.,3.8,190 ,672,8,--,23,--
Vserve Ebusiness Solutions,4.2,230 ,690,4,7,3,9
Gesco Healthcare,2.5,120 ,609,10,4,8,3
Diagno Labs,4.2,109 ,312,2,--,12,--
